iter	Passed	Remaining
230	312	1040
231	313	1037
232	314	1034
233	315	1031
234	315	1028
235	316	1025
236	317	1022
237	318	1019
238	319	1016
239	320	1013
240	320	1010
241	321	1007
242	322	1004
243	323	1001
244	323	998
245	324	995
246	325	992
247	326	989
248	326	986
249	327	983
250	328	980
251	329	977
252	329	974
253	330	971
254	331	968
255	332	966
256	334	967
257	335	964
258	336	961
259	336	958
260	337	955
261	338	952
262	338	949
263	339	947
264	340	944
265	341	941
266	341	938
267	342	935
268	343	932
269	343	929
270	344	926
271	345	924
272	346	921
273	347	919
274	348	917
275	349	915
276	349	913
277	350	910
278	351	908
279	352	905
280	352	903
281	353	900
282	354	898
283	355	895
284	356	893
285	356	890
286	357	888
287	358	886
288	359	884
289	360	881
290	360	879
291	361	876
292	362	874
293	363	872
294	363	869
295	364	867
296	365	865
297	366	863
298	367	860
299	367	858
300	368	856
301	369	855
302	370	853
303	371	850
304	372	848
305	373	846
306	373	843
307	374	841
308	375	839
309	376	837
310	377	835
311	378	833
312	378	831
313	379	829
314	380	827
315	381	825
316	382	823
317	382	820
318	383	818
319	384	816
320	384	814
321	385	812
322	386	809
323	387	807
324	387	805
325	388	803
326	389	802
327	390	800
328	391	798
329	392	796
330	393	795
331	394	793
332	395	791
333	396	790
334	397	788
335	397	786
336	398	784
337	400	784
338	401	782
339	401	780
340	402	778
341	403	776
342	404	774
343	405	772
344	405	770
345	406	768
346	407	767
347	408	765
348	409	763
349	410	762
350	411	760
351	412	758
352	412	756
353	413	754
354	414	752
355	414	750
356	415	748
357	416	746
358	416	744
359	417	742
360	418	740
361	419	738
362	419	736
363	420	735
364	421	733
365	422	731
366	423	730
367	424	728
368	425	726
369	425	725
370	426	723
371	427	721
372	427	719
373	428	717
374	429	715
375	430	713
376	430	711
377	431	709
378	432	708
379	432	706
380	433	704
381	434	702
382	435	700
383	435	699
384	436	697
385	437	696
386	438	694
387	438	692
388	439	690
389	440	689
390	441	687
391	442	686
392	443	685
393	444	684
394	445	682
395	446	680
396	447	679
397	447	677
398	448	675
399	449	674
400	450	672
401	451	671
402	452	670
403	453	668
404	454	666
405	454	665
406	455	663
407	455	661
408	456	659
409	457	657
410	457	656
411	458	654
412	459	652
413	459	650
414	460	648
415	461	647
416	461	645
417	462	643
418	463	642
419	463	640
420	464	639
421	465	637
422	466	636
423	467	634
424	467	633
425	468	631
426	469	630
427	470	628
428	471	627
429	471	625
430	472	623
431	473	622
432	473	620
433	474	619
434	475	617
435	476	615
436	476	614
437	477	613
438	478	611
439	479	610
440	480	608
441	481	607
442	481	605
443	483	604
444	483	603
445	484	601
446	485	600
447	485	598
448	486	597
449	487	595
450	488	594
451	488	592
452	489	590
453	490	589
454	490	588
455	491	586
456	492	585
457	493	583
458	494	582
459	494	581
460	495	579
461	496	578
462	497	577
463	498	575
464	499	574
465	499	572
466	500	571
467	501	570
468	503	569
469	504	568
470	505	567
471	506	566
472	506	564
473	507	563
474	508	562
475	509	560
476	510	559
477	511	558
478	512	556
479	512	555
480	513	554
481	514	553
482	515	552
483	516	550
484	517	549
485	518	548
486	518	546
487	519	545
488	520	544
489	521	543
490	522	541
491	523	540
492	525	540
493	526	538
494	526	537
495	527	536
496	528	534
497	529	533
498	529	532
499	530	530
500	531	529
501	532	528
502	532	526
503	533	525
504	534	523
505	535	522
506	536	521
507	537	520
508	537	518
509	538	517
510	539	516
511	540	515
512	541	514
513	542	513
514	543	512
515	544	510
516	545	509
517	545	507
518	546	506
519	547	505
520	547	503
521	548	502
522	549	500
523	550	499
524	550	498
525	551	497
526	552	495
527	553	494
528	554	493
529	555	492
530	556	491
531	556	489
532	557	488
533	558	487
534	559	486
535	560	485
536	561	483
537	562	482
538	562	481
539	563	480
540	564	478
541	565	477
542	565	476
543	566	475
544	567	473
545	568	472
546	569	471
547	570	470
548	571	469
549	572	468
550	573	467
551	573	465
552	574	464
553	575	463
554	576	461
555	576	460
556	577	459
557	578	458
558	578	456
559	579	455
560	580	454
561	581	453
562	582	452
563	583	451
564	585	450
565	586	449
566	587	448
567	588	447
568	589	446
569	589	444
570	590	443
571	591	442
572	592	441
573	593	440
574	594	439
575	594	437
576	595	436
577	596	435
578	597	434
579	597	432
580	598	431
581	599	430
582	600	429
583	601	428
584	602	427
585	602	425
586	603	424
587	604	423
588	604	422
589	605	420
590	606	419
591	607	418
592	608	417
593	608	416
594	609	414
595	610	413
596	611	412
597	611	411
598	612	409
599	613	408
600	614	407
601	614	406
602	615	405
603	616	404
604	617	403
605	618	402
606	619	400
607	620	399
608	620	398
609	621	397
610	622	396
611	622	394
612	623	393
613	624	392
614	625	391
615	625	390
616	626	389
617	627	387
618	628	386
619	629	385
620	630	384
621	631	383
622	632	382
623	633	381
624	634	380
625	634	379
626	635	378
627	636	377
628	637	376
629	638	374
630	639	373
631	639	372
632	640	371
633	641	370
634	642	369
635	642	367
636	644	367
637	645	366
638	646	365
639	647	363
640	647	362
641	648	361
642	649	360
643	650	359
644	651	358
645	652	357
646	653	356
647	653	355
648	654	354
649	655	353
650	656	351
651	657	350
652	658	349
653	659	348
654	660	347
655	661	346
656	662	345
657	663	344
658	663	343
659	664	342
660	665	341
661	666	340
662	666	338
663	667	337
664	668	336
665	668	335
666	669	334
667	670	333
668	670	331
669	671	330
670	672	329
671	674	329
672	675	328
673	676	327
674	677	326
675	678	324
676	678	323
677	679	322
678	680	321
679	681	320
680	681	319
681	682	318
682	683	317
683	684	316
684	684	314
685	685	313
686	686	312
687	687	311
688	688	310
689	689	309
690	690	308
691	690	307
692	691	306
693	692	305
694	693	304
695	693	303
696	695	302
697	696	301
698	696	300
699	697	298
700	698	297
701	699	296
702	699	295
703	700	294
704	701	293
705	702	292
706	704	291
707	705	290
708	705	289
709	706	288
710	707	287
711	708	286
712	708	285
713	709	284
714	710	283
715	711	282
716	712	281
717	712	279
718	713	278
719	714	277
720	714	276
721	715	275
722	716	274
723	718	273
724	718	272
725	719	271
726	720	270
727	720	269
728	721	268
729	721	267
730	722	265
731	723	264
732	723	263
733	724	262
734	725	261
735	725	260
736	726	259
737	727	258
738	727	257
739	728	255
740	729	254
741	729	253
742	730	252
743	731	251
744	732	250
745	733	249
746	734	248
747	734	247
748	735	246
749	736	245
750	737	244
751	738	243
752	738	242
753	739	241
754	740	240
755	741	239
756	741	238
757	742	237
758	743	235
759	743	234
760	744	233
761	745	232
762	746	231
763	747	230
764	748	229
765	749	228
766	749	227
767	750	226
768	751	225
769	751	224
770	752	223
771	753	222
772	754	221
773	754	220
774	755	219
775	756	218
776	756	217
777	757	216
778	758	215
779	758	214
780	759	213
781	760	211
782	761	210
783	762	210
784	763	209
785	764	208
786	764	207
787	765	205
788	766	204
789	766	203
790	767	202
791	768	201
792	769	200
793	769	199
794	770	198
795	771	197
796	772	196
797	781	197
798	782	196
799	783	195
800	784	194
801	785	193
802	786	192
803	787	191
804	787	190
805	788	189
806	789	188
807	790	187
808	790	186
809	791	185
810	793	184
811	794	183
812	795	182
813	796	181
814	797	180
815	797	179
816	798	178
817	799	177
818	800	176
819	800	175
820	802	174
821	803	173
822	804	172
823	804	171
824	805	170
825	806	169
826	808	169
827	809	168
828	810	167
829	811	166
830	812	165
831	813	164
832	813	163
833	814	162
834	815	161
835	816	160
836	817	159
837	818	158
838	819	157
839	820	156
840	820	155
841	821	154
842	823	153
843	824	152
844	825	151
845	826	150
846	827	149
847	827	148
848	828	147
849	829	146
850	830	145
851	831	144
852	832	143
853	836	143
854	838	142
855	839	141
856	841	140
857	842	139
858	844	138
859	845	137
860	846	136
861	847	135
862	848	134
863	849	133
864	850	132
865	851	131
866	852	130
867	853	129
868	854	128
869	856	127
870	857	126
871	857	125
872	858	124
873	859	123
874	860	122
875	860	121
876	861	120
877	862	119
878	863	118
879	864	117
880	864	116
881	865	115
882	867	114
883	868	113
884	871	113
885	872	112
886	873	111
887	874	110
888	875	109
889	876	108
890	877	107
891	878	106
892	878	105
893	879	104
894	881	103
895	882	102
896	883	101
897	884	100
898	885	99
899	899	99
900	900	98
901	902	98
902	904	97
903	906	96
904	907	95
905	907	94
906	908	93
907	909	92
908	910	91
909	910	90
910	911	89
911	912	88
912	913	87
913	914	86
914	915	85
915	916	84
916	917	83
917	918	82
918	919	81
919	920	80
920	921	79
921	922	78
922	923	77
923	924	76
924	924	74
925	925	73
926	927	73
927	928	72
928	929	71
929	930	70
930	931	69
931	933	68
932	933	67
933	935	66
934	936	65
935	937	64
936	938	63
937	939	62
938	940	61
939	944	60
940	945	59
941	946	58
942	948	57
943	948	56
944	949	55
945	950	54
946	951	53
947	952	52
948	953	51
949	953	50
950	954	49
951	955	48
952	956	47
953	959	46
954	960	45
955	961	44
956	962	43
957	963	42
958	964	41
959	965	40
960	966	39
961	967	38
962	967	37
963	968	36
964	969	35
965	970	34
966	971	33
967	972	32
968	973	31
969	974	30
970	975	29
971	976	28
972	976	27
973	977	26
974	978	25
975	979	24
976	980	23
977	981	22
978	982	21
979	982	20
980	983	19
981	984	18
982	985	17
983	986	16
984	989	15
985	990	14
986	991	13
987	992	12
988	992	11
989	993	10
990	994	9
991	995	8
992	996	7
993	997	6
994	999	5
995	999	4
996	1000	3
997	1001	2
998	1002	1
999	1003	0
